"filename", "language", "TOML", "Python", "Markdown", "comment", "blank", "total"
"d:\Projects\Python\PUBG-Mortar-Calculator\README.md", "Markdown", 0, 0, 24, 0, 9, 33
"d:\Projects\Python\PUBG-Mortar-Calculator\poetry.lock", "TOML", 4535, 0, 0, 1, 421, 4957
"d:\Projects\Python\PUBG-Mortar-Calculator\pyproject.toml", "TOML", 38, 0, 0, 0, 5, 43
"d:\Projects\Python\PUBG-Mortar-Calculator\src\customtkinter_widgets\__init__.py", "Python", 0, 6, 0, 0, 0, 6
"d:\Projects\Python\PUBG-Mortar-Calculator\src\customtkinter_widgets\checkbox.py", "Python", 0, 32, 0, 0, 7, 39
"d:\Projects\Python\PUBG-Mortar-Calculator\src\customtkinter_widgets\combobox.py", "Python", 0, 59, 0, 0, 11, 70
"d:\Projects\Python\PUBG-Mortar-Calculator\src\customtkinter_widgets\entry.py", "Python", 0, 33, 0, 0, 7, 40
"d:\Projects\Python\PUBG-Mortar-Calculator\src\customtkinter_widgets\image.py", "Python", 0, 84, 0, 0, 16, 100
"d:\Projects\Python\PUBG-Mortar-Calculator\src\customtkinter_widgets\slider.py", "Python", 0, 41, 0, 0, 10, 51
"d:\Projects\Python\PUBG-Mortar-Calculator\src\customtkinter_widgets\titled_block.py", "Python", 0, 13, 0, 0, 7, 20
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\__init__.py", "Python", 0, 2, 0, 0, 1, 3
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\__main__.py", "Python", 0, 40, 0, 0, 9, 49
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\app_logic.py", "Python", 0, 264, 0, 1, 61, 326
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\detectors\__init__.py", "Python", 0, 3, 0, 0, 0, 3
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\detectors\grid_detector.py", "Python", 0, 129, 0, 0, 34, 163
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\detectors\map_detector.py", "Python", 0, 23, 0, 0, 4, 27
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\detectors\mark_detector.py", "Python", 0, 66, 0, 0, 21, 87
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\dictor_manager.py", "Python", 0, 33, 0, 0, 9, 42
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\elevation_tools.py", "Python", 0, 38, 0, 2, 14, 54
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\logger.py", "Python", 0, 26, 0, 0, 11, 37
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\settings_loader.py", "Python", 0, 21, 0, 0, 5, 26
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\ui\app.py", "Python", 0, 57, 0, 3, 17, 77
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\ui\blocks\__init__.py", "Python", 0, 6, 0, 0, 0, 6
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\ui\blocks\calculation_data_block.py", "Python", 0, 23, 0, 0, 7, 30
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\ui\blocks\dictor_settings_block.py", "Python", 0, 24, 0, 0, 4, 28
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\ui\blocks\elevation_detector_block.py", "Python", 0, 28, 0, 0, 5, 33
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\ui\blocks\general_settings_block.py", "Python", 0, 31, 0, 0, 8, 39
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\ui\blocks\grid_detector_block.py", "Python", 0, 38, 0, 0, 8, 46
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\ui\blocks\map_detector_block.py", "Python", 0, 45, 0, 0, 12, 57
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\utils\__init__.py", "Python", 0, 9, 0, 0, 3, 12
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\utils\imgpr.py", "Python", 0, 119, 0, 4, 39, 162
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\utils\paths.py", "Python", 0, 32, 0, 0, 12, 44
"d:\Projects\Python\PUBG-Mortar-Calculator\src\pubg_mortar_calculator\utils\screenshot.py", "Python", 0, 28, 0, 0, 5, 33
"d:\Projects\Python\PUBG-Mortar-Calculator\src\yolo11_onnx_detector\__init__.py", "Python", 0, 1, 0, 0, 0, 1
"d:\Projects\Python\PUBG-Mortar-Calculator\src\yolo11_onnx_detector\__main__.py", "Python", 0, 45, 0, 5, 9, 59
"d:\Projects\Python\PUBG-Mortar-Calculator\src\yolo11_onnx_detector\yolo11_onnx_detector.py", "Python", 0, 132, 0, 7, 28, 167
"d:\Projects\Python\PUBG-Mortar-Calculator\tests\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"Total", "-", 4573, 1531, 24, 23, 820, 6971
